ID,MM1,MM2,MM3,MM4,MV1,MV2,MV3,UM1,UM2,UM3,UM4,UM5
P558,373,543,815,716,347,419,576,353,284,601,798,72
P559,405,433,384,320,432,380,494,392,653,583,493,530
P56,255,236,274,83,276,228,142,228,207,213,301,230
P560,32,29,32,79,54,19,40,26,38,26,41,36
P561,1863,1765,1339,1976,2016,1631,1655,2075,1755,1973,1741,1955
P562,6751,7171,6522,7305,7009,7149,6305,6629,6257,6833,6952,6408
P563,286,55,0,81,111,142,172,96,74,121,124,88
P564,3540,3393,3280,2337,3200,3657,3362,3938,3796,3994,3459,3788
P565,1847,1970,1829,1591,2106,2070,2406,2142,1822,1824,2213,1592
P566,5913,295,5230,7184,670,6336,6599,66,6209,29,283,6837
P567,184,130,207,6091,336,35,87,22,178,13,96,12
P568,873,1094,730,713,937,742,916,656,1009,1196,1012,1207
P569,945,446,967,865,839,1061,933,109,1001,49,428,1654
P57,202,177,221,185,202,140,239,230,281,249,279,289
P571,4339,4160,5128,3158,4741,5328,4448,4540,3813,4317,4419,4702
P572,466,544,378,364,429,433,330,386,509,406,481,607
P573,6116,6660,5810,6791,6581,6425,5961,6263,5960,6470,6574,6167
P574,6034,6012,6139,5579,6223,6471,5650,5943,5423,5857,6039,5807
P576,3521,2504,3828,3457,3240,3778,4220,2273,2164,3165,4112,1408
P577,7352,7649,6743,6970,7811,7466,7814,7296,7346,7392,7669,7916
P578,57,26,0,0,50,18,25,18,28,22,56,18
P579,1831,1630,1685,942,1498,2004,1622,2130,2134,2191,1679,1977
P58,838,821,695,972,747,920,867,910,1038,977,625,650
P580,7799,8438,7902,7996,8536,8081,7664,7918,7772,7883,7395,7807
P581,1831,1630,1685,942,1498,2004,1622,2130,2134,2191,1679,1977
P582,7831,8454,8067,8370,8484,8438,7399,7684,7588,7843,7498,7459
P583,2919,2688,2688,1653,2527,3133,2716,3361,3384,3410,2779,3270
P584,6217,6488,5667,6128,6037,5206,5810,5590,5773,5458,6242,5338
P585,954,914,589,650,765,671,743,533,863,659,469,708
P586,357,750,1526,2502,660,881,1425,519,279,796,861,888
P587,1286,1162,933,1003,1182,904,1080,744,715,854,886,676
P588,20162,20769,21215,22253,20067,20460,21002,17621,19988,19134,19344,18929
P589,31,75,47,97,82,151,133,35,9,64,36,7
P59,44,87,0,0,49,68,0,137,176,84,83,162
P591,426,339,354,324,326,259,256,318,456,388,302,424
P592,66,53,18,25,249,42,31,371,415,61,207,214
P593,17,44,26,380,198,55,312,220,174,207,125,352
P594,2012,1190,1952,2300,1741,1418,1244,764,986,1401,1257,878
P595,51,41,13,19,213,32,24,350,401,47,168,178
P596,1198,1006,1135,880,934,1329,927,848,857,953,1190,971
P598,31,13,21,32,12,14,0,12,27,25,17,14
P6,10,35,1168,1903,25,24,1751,175,21,104,38,137
P60,2033,1395,1441,2269,1935,2981,1430,1784,1765,2163,1845,1788
P600,244,104,74,263,285,340,388,180,106,160,126,170
P601,825,963,1127,871,1151,515,312,1049,874,607,717,691
P602,28,0,0,0,24,21,5,15,17,16,18,3
P603,1041,729,948,818,801,980,614,690,579,644,1072,544
P604,335,199,289,502,315,187,266,455,450,438,391,241
P605,72,57,196,149,150,430,187,131,58,108,32,105
P606,180,138,285,544,157,246,62,144,192,118,320,116
P607,13,590,595,798,716,327,885,19,528,61,720,552
P608,6021,5418,5889,6380,5949,5638,6093,5843,5948,5738,6268,5718
P609,287,281,224,210,318,405,200,320,234,309,302,318
P61,461,429,490,161,495,416,264,423,388,400,540,431
P610,21,81,98,337,51,66,159,56,50,19,8,99
P611,579,828,407,361,622,400,859,18,868,485,673,854
P612,1070,60,89,729,73,212,86,40,196,35,1215,262
P613,24,0,0,0,23,0,0,22,47,12,6,10
P614,3253,2843,2801,3015,2959,2893,2990,2874,2800,2836,3071,3009
P615,501,464,506,190,544,428,300,456,425,445,567,465
P616,530,431,339,412,432,493,239,245,317,364,393,334
P617,749,534,641,596,591,683,449,513,428,476,737,406
P618,749,534,641,596,591,683,449,513,428,476,737,406
P619,1457,1712,1361,869,1253,890,537,1252,1308,1253,1560,1279
P62,595,551,623,204,638,535,341,536,488,502,697,543
P620,1102,863,860,863,928,914,619,837,705,783,1081,696
P621,6,88,57,28,6,41,64,86,19,100,83,55
P622,202,413,242,317,291,182,258,385,336,500,341,267
P623,118,224,94,60,136,341,2275,270,74,184,225,178
P624,16,41,25,69,44,92,88,18,4,35,18,4
P625,7,13,28,0,9,0,29,20,0,9,110,18
P626,36,30,48,0,30,124,0,0,8,18,26,14
P627,1005,843,850,725,990,964,799,1000,1145,1054,1114,1201
P628,287,245,312,160,335,282,272,252,303,330,319,316
P629,229,238,133,382,92,89,151,63,130,76,123,276
P63,2651,2399,2933,2362,2325,2334,2156,2533,2436,2209,2646,2309
P630,135,132,111,54,103,185,176,170,116,114,107,126
P631,8,16,0,0,11,0,0,5,0,5,14,0
P634,761,1316,1246,1008,1284,917,1152,1356,904,923,1133,1155
P635,4095,3869,3749,3851,4199,3301,3249,4022,4108,4153,3809,4268
P637,30,0,0,76,31,15,86,8,16,47,147,17
P638,8,3040,3309,62,3318,3144,3438,13,7,27,3153,8
P639,30,24,38,154,23,90,116,248,7,15,22,11
P64,4494,3659,4247,4511,4244,3867,3690,2898,3289,3854,3644,3071
P640,762,770,1035,874,885,914,731,512,484,670,1277,727
P641,22,2,4,26,12,31,7,8,11,6,9,18
P642,43,3,7,50,23,62,14,16,21,12,18,35
P643,4869,4246,4320,4807,4928,5912,4026,4795,4850,5314,4769,4953
P644,698,542,667,736,474,554,721,722,627,783,863,705
P645,127,176,317,157,119,75,79,200,154,208,280,177
P646,152,141,317,111,128,100,79,155,73,249,268,85
P647,52,42,24,101,25,31,0,8,25,18,17,12
P648,77,31,83,41,35,15,148,37,8,20,17,19
P649,59,34,75,59,40,20,54,47,39,90,38,36
P65,6000,6158,5493,5572,6215,5867,6233,6203,5901,6298,5835,6253
P650,32,17,31,337,64,37,28,75,65,34,56,96
P651,3673,3642,3264,2683,3427,3858,3231,3218,3605,2841,3432,3309
P652,31,16,92,132,51,59,131,47,15,32,18,0
P653,723,622,592,458,527,645,493,572,700,717,541,546
P655,7,0,0,0,11,0,0,0,21,0,6,0
P656,11,3,0,0,15,0,0,9,6,6,13,8
P657,2301,1672,1105,1132,2640,1846,1631,2590,1992,2415,2203,2131
P658,9113,8856,8486,8973,9247,8855,8862,9261,9174,9349,8918,9234
P659,183,217,122,171,318,295,104,638,452,438,342,613
P66,3988,4080,3688,3835,3669,3786,3752,4175,4031,3520,3787,3630
P660,19,46,0,14,32,28,0,23,22,13,19,21
P661,1273,978,1100,1559,651,1263,1484,837,894,721,578,936
P662,0,1,1,0,1,1,3,40,62,3,6,2
P663,601,374,502,321,556,381,300,428,371,251,412,440
P664,14,3632,3824,2765,2,3554,4316,3294,3547,3362,4000,3450
P665,339,273,228,470,385,268,444,385,304,234,227,268
P666,99,44,199,0,85,43,407,73,68,171,41,45
P667,92,42,168,0,82,41,320,69,60,155,40,43
P668,423,466,661,272,479,182,287,239,167,724,259,394
P669,1339,1174,1631,1521,1573,1385,1695,1233,1707,1411,1502,1731
P67,262,167,331,213,258,185,272,283,282,265,266,222
P670,10502,9655,10079,8434,9366,9973,9716,8235,8003,7922,8771,7312
P671,7331,7524,6973,7761,7155,6850,6862,6894,7218,7164,7071,6962
P672,4982,4735,4368,4549,4710,4532,4704,4919,4907,4966,4529,5225
P673,218,202,105,169,356,233,180,212,155,187,281,129
P674,256,399,484,242,342,432,250,274,355,312,288,207
P675,394,521,317,192,496,394,428,462,545,609,264,378
P676,56,0,152,0,50,318,224,0,0,114,190,0
P678,897,213,227,987,269,457,103,170,144,458,256,847
P679,15,40,10,38,29,61,21,17,19,41,17,8
P68,92,73,80,35,56,77,78,75,124,113,62,60
P680,15,40,10,38,29,61,21,17,19,41,17,8
P682,295,334,201,157,291,221,311,278,305,298,334,316
P683,10,28,7,27,20,42,14,12,13,30,12,5
P685,552,504,441,421,574,539,455,461,589,510,560,544
P686,62,73,38,0,34,46,0,58,63,33,143,37
P687,6838,6590,6307,6695,6917,6603,6611,6927,6860,6999,6660,6871
P688,6196,6205,6362,4961,6297,6289,7031,6372,5815,6104,6516,6275
P689,8645,8404,9740,8008,8669,8576,7985,8712,9095,8806,8626,9374
P69,1728,1905,1149,1843,1708,1666,1233,1721,2055,1955,1742,1636
P690,5723,5606,6631,5644,5989,6801,4211,4796,5511,5827,4604,4593
